calle,comuna,numero_region
Camino a Ranchillo bajo Lote 9 Campanario,,
Diego de Oro 382,Concepción,8.0
Pasaje 2 Villa del Rio 121,,
Av. Mariscal Ruiz de Gamboa 223,,
pje la capilla 3880 dña rosa,,
Diagonal san Camilo parcela   s km 0,,
Teniente Riquelme 2968B Lorenzo Arenas,,
Jaime Repullo 178,Talcahuano,8.0
Pasaje Gustavo Bravo 723 Poblacion el Roble,,
Seis Sur,,
San Carlos 6347 Santa Maria,,
Laguna San Pedro 5797,,
Kl 3.6 camino a san fabian,,
Lautaro 2165,,
Jorge Alessandri Rodríguez 449,,
Las Brisas 2251,Concepción,8.0
20 de agosto 1289,,
Santiago urrutia 390,Santiago,13.0
Oriente,,
Luis Vicentino 10,,
Conde del Maule 05,,
Manuel Montt 875,,
Constitución 644,,
Av. Collín 883,,
Jerusalem 782,San Pedro de la Paz,8.0
Galpón 21,,8.0
Manuel Mont 229,,
Calle Provenir condominio Peumalihuen Casa 114,,
Ruta 5 sur km 4093,,
Pobl Porvenir Calle 1 Casa 3215,,
Km 3 2 camino Villarrica Licanray,,
Av Michaihue 808,San Pedro de la Paz,8.0
Carrier Norte Lote 9 A 1 SN,,
Camino Pata de Gallina Km 0,,
La Concepción 81,Providencia,13.0
Avenida Coliumo Los Morros 2012,,
Buenos Aires 650,,
Uno Sur 468,Talcahuano,8.0
Arteaga Alemparte 8753,Hualpén,8.0
Gabriela Mistral,,
Gral. Parra,,
Baquedano 575,Concepción,8.0
km 6 camino a yungay sector valle escondido sn,,
Av. Cristóbal Colón 8307,Hualpén,8.0
Avenida Jose Maria Caro 1443,,
Blanco Encalada 444 604,,
Libertador Gral. Bernardo O'Higgins 680,Concepción,8.0
Galvarino 2018,,
Los Olivos 156,Concepción,8.0
Ramón Carrasco 239,Concepción,8.0
Los castanos 6890,San Pedro de la Paz,
Ruta 160 107,,
Av Vitacura 2771,Las Condes,13.0
Av. Los Presidentes 1534,Concepción,8.0
San Ignacio,Hualpén,8.0
Av. Carrascal,,
Los Robles,,
Saint Margaret 055 00 Lomas de Montemar,,
Golondrina 922,,
Villa El Crisol,,
Calle Ones de Loyola 1324,,
Cocharcas 025,,
Errázuriz 2924,Talcahuano,8.0
Av. Américo Vespucio 344,,
Río Viejo 1203-1285,,
Carrera 80,,
Balmaceda 89,Penco,8.0
Pasaje 21 2274 Laguna Redonda,,
Galería los arrayanes - Caupolicán 321,Concepción,8.0
Ruta 60 218,,5.0
Paramerica Sur KM 406,,
Cabildo 240,,
Florindo Lagos 436,,
Ongolmo 1359,Concepción,8.0
Avda Cataluna 1118 depto 702,,
Sucre 2397,,
Alonso de Ercilla 815,,
Longitudinal Sur,,
Volcan Osorno 4758 Bahia Null,,
Río Chillán 1366,,
Italia #746,,
Ruta 5 sur km 510,,
Yobilo 984,Coronel,8.0
La palma kl 19 camino a coihueco,,
CLAUDIO ARRAU 901,,
Los Almendros 1196,San Pedro de la Paz,8.0
Autop. Concepción - Talcahuano N° 8360,Talcahuano,8.0
Colón 3204,,
C. Republica 23,,
Camino a Balmaceda Parcela 7,,
COCHARCAS 291,,
Sicilia 3682,,
Km 1 camino a san Nicolas,,
Av. del Parque 4680,,13.0
385 PASAJE 2,,
Cajigal y Solar 1968,San Pedro de la Paz,8.0
Baquedano 1590,,
Arturo Prat 306,Concepción,8.0
Arica,,
Lafquen 1110 Cumbres de Andalue,,
Las Azaleas 56,,
Km 3 ruta n 48 Bulnes,,
C. Cuevas 226,,6.0
Dieciocho de Septiembre 140,,
O'Higgins 810,,8.0
Cam. Viejo a Huachipato,,
Pablo Neruda 37,Concepción,8.0
Rupanco,,
de Concepción a - Autopista 6360,Talcahuano,
Palermo,,13.0
San Pedro de Atacama 1300,,
Colonia Bernardo O'Higgins,,6.0
Avenida Brasil 894,,
Malaquías Concha 701,Talcahuano,8.0
Hemdaya 60 DP 502,,
Creta 865,Concepción,8.0
Arturo Prat 345,,
Magdalena Petit 7822,San Pedro de la Paz,8.0
O'Higgins 54,,6.0
Manuel Gutiérrez 2029,Concepción,8.0
Miguel de Cervantes,Concepción,8.0
CAMINO A COIHUECO KM 20 S N,,
Rio Turbio 23 Villa Independencia,,
Rio Petrohue 636 Denavisur,,
Tucapel 928,Concepción,8.0
Jose Miguel Carrera 738,,
Patricio Lynch 531,,
Sajonia,Hualpén,8.0
San Martín 481,Talcahuano,8.0
Sector colton sn,,
Los Lobos 1565,Talcahuano,8.0
ALONSO DE ERCILLA 905,,
Libertador Gral. Bernardo O'Higgins 1186,Concepción,8.0
Unnamed Road,,
Mons Alarcón 444,Talcahuano,8.0
Talcahuano,Talcahuano,8.0
Elbasan 2089,Concepción,8.0
Calle Ohiggins 265 Poblacion Santa Leonor,,6.0
Carretera Panamericana KM 415 Rucapequen,,
Independencia,,
Pasaje 1 Casa 5292,,
Corral,Hualpén,8.0
PATRICIO LINCH 221,,
Orompello235,,
Las Lilas,,
Ramón Carrasco 345,Concepción,8.0
O-556,,
El Conquistador del Monte 4732,,
Casa San Carlos 6369 Santa Maria,,
Padre Alberto Hurtado 3,Concepción,8.0
El Encanto,,
Victor Gregorio Amunategui 3143,,
Ejercito 1418,,
Fundo Mollihua SN Trehuaco coelemu,,
Las Golondrinas 1485,,
Cataluña 1118,Concepción,8.0
km 11 camino a temuco,,
4602869 Hualpén,Hualpén,8.0
Av Laguna grande 350 Casa 31 Condominio Los Notros,,
Variante Collin 59,,
Av. Siete Lagunas 1076,Concepción,8.0
6H54+X4,,
Cam. A Lenga 2610,Talcahuano,8.0
3800722 Chillán,,
Barros Arana 492,,
Teniente Riquelme 2968,Concepción,8.0
Av. Cristóbal Colón 6742,Talcahuano,8.0
Via Interlaguna 425 Parque Industrial Ejercito,,
Ainavillo 1649,Concepción,8.0
Italia 746,,
Cardenio Avello 36,Concepción,8.0
Sector Caravanchel sn,,
Las Golondrinas 444,,
Luis Acevedo,,
I-730,,
Av. Pdte. Eduardo Frei Montalva 3011,,13.0
Serrano 710,,
Pje VItervo 256 San Carlos,,
Au. Panamericana Nte. 591,,
Lincoyán 1134,Concepción,8.0
Truf Truf 1250,,
Almte. Neff Nte. 255,,13.0
Q-524,,8.0
Arturo Prat,,
LOS LEONES 957,,
Tucapel 578,,
Venecia 2857,,
PJE SALAMEA 468 BRICENO 2,,
Santiago Watt 4480 LT B 3,Santiago,13.0
Praga 2981,Hualpén,8.0
Ruta Q90,,
Los Puelches 925,,
Arturo Prat 1099,Concepción,8.0
La Quinta LT 1 LT 1a Coihueco,,
Quechereguas 1014,,6.0
Dover 2360,Concepción,8.0
1 de enero 835,,
Pje. 37 384,Concepción,8.0
Baquedano 597,Concepción,8.0
Victor Domingo Silva 1827 x Santa Sabina,,
Arturo Prat 199,Concepción,8.0
Tres Ote. 1377-1367,,
Serrano 198,,
KILOMETRO 4 PANAMERICANA  SN SECTOR SANTA ELISA,,
General Nova 1005,,
Cancha Rayada,,
Luis Uribe 5219,,
Unnamed Road,,8.0
Av. Brasil,,
Carlos Barrientos,,
Orozimbo Barbosa 104,,
Cardenal Caro 435,,
km 15 San Nicolas,,
Bellavista 1792 Barrio Norte,,
Av. Diego Portales 1048,,
Camino Viejo A Lirquen 42,,
Las Encinas 56 Sector Maule,,
Colón 2638,,
Paso Ancho,,
Cruz 535,,
Camino huape kilómetro 10 fundó Pelehue,,
Volcan Ollague 589 San Marcos,,
Freire 348,,
Yerbas Buenas 564,,
Caleta tumbes principal 17,,
Capitán Prat 150,Concepción,8.0
Bernardo Ohiggins 630 of 306,,6.0
Alonso Ovalle 14,,
Jaime Repullo 1360,,
Pasaje 7 los prados 2861 villa pobl Floresta 3 Hualpen,,
Obispo Hipólito Salas 990,Concepción,8.0
Echaurren 237,Santiago,13.0
Veintiuno de Mayo 83,Coronel,8.0
Concepción,Concepción,8.0
Chillan Viejo,,
Av chile 287 población Maipú chillan,Maipú,13.0
San Bernardo 781,,
Malaquías Concha 1148,Talcahuano,8.0
Venecia,,
Collin 915,,
Matamala 173,,
Bilbao 467,Talcahuano,8.0
Santa Emilia lote  3a Huepil,,
Fundo El Castillo Manzana 8 SN,,
Juan de dios Vidal 1435 Los Lirios Collao,,
Parcela 35 LT 43 bdo Ohiggins,,6.0
Av. Simón Bolívar 4576,,13.0
Ruta 5 Sur km 406,,
Los Ceremistas 8640,,
Villa El Huascar Pasaje 20 casa 779,,
Barros Arana 194,Concepción,8.0
Arturo Prat 766,Concepción,8.0
de Cerrillos - Lote 2 y 3,,
Valencia 894,Concepción,8.0
Orompello 1333,,
Ecuador 725,,
Panamericana Sur klm 376,,
Pasaje 2 95 Los Arrayenes,,
Av. Jorge Alessandri Rodríguez,Concepción,8.0
Pje. 2,,
Paicaví,Concepción,8.0
Freire 1595,Concepción,8.0
Huiscapi 242,Hualpén,8.0
Balmaceda 394,,
Pinihue,,
Camilo Henríquez 483,Concepción,8.0
Los Pidenes 170,Concepción,8.0
Diego Velásquez 1058,Concepción,8.0
Au. Panamericana Nte. 1850,,
El Parron Lote 4 Cholguan Norte,,
3 PONIENTE 645,,
Talcahuano,Talcahuano,8.0
Ldo. Bustamante 2313,,
Avda Colon 3514 Las Salinas,,
9XR7+J3,,
Libertad 350,,
Calle Trehuaco 620,,
Los Lleuques,,
Nueva Portales 1197,,
Pasaje el alméndran 2764 iquique,,
Av. Andalién 190,Concepción,8.0
Pasaje Volcan llullaillaco 1009,,
Rostock 4503 Penuelas 1,,
Lourdes 25,Talcahuano,8.0
Parcela Santa Laura N25 Los Aromos Salto del Laja,,
Joaquín Prieto 1160,Concepción,8.0
Las Galerias 577 poblacion Ohiggins,,6.0
Los Alacalufes 519,Talcahuano,8.0
Manuel Zañartu 60,,
Maipú 681,Maipú,13.0
CAMINO A PINTO KILOMETRO 9,,
Barros Arana 492,Concepción,8.0
Pje. Rio Blanco 2067,,
Infante 199 A,,
ARAUCO 270,,
Sotero de Rio 508,,13.0
Peumo 558,Talcahuano,8.0
Km 8 Camino a San Javier SN,,
Marihueño,,
Av La Foresta Pasaje Belloto Casa 16 Lomas Coloradas,,
Manuel Montt 875,,
Los Conquistadores 1700,Providencia,13.0
Hj Segunda Nibilito s7n Coihueco,,
Ramón Carrasco 231,Concepción,8.0
Heroes de la Concepcion 117 coelemu,,
Villa Alemana,,5.0
Panamericana sur KM 410 Chillán Viejo,,
Ainavillo 1866,Concepción,8.0
O'Higgins,,6.0
Cornelia Olivares 540,,
Km 8 camino a huape,,
Pasaje 1 Casa 9348 parque residencial Bio Bio,,8.0
Colonia Bernardo Ohiggins 46,,6.0
Las Canoas 465,,
Jaime Repullo 1615,,
Avenida Cataluna 1172 of 315,,
Pasaje Rapel 720,,10.0
Ignacio Serrano,Penco,8.0
Caleta Pto Inglés 1163,Talcahuano,8.0
Maitén 130,Talcahuano,8.0
Autopista 6750,,
Manuel Montt 229,Providencia,13.0
Barcelona 1217 Valle Escondido Paicavi,,
Buenos Aires 274 Poblacion Santa Clara,,
Principal 27 Caleta Tumbes,,
Avda Chacabuco 37,,
Calle 30 Ote. 1546,,
Sgto. Aldea 348,,
Av. Central 512,Concepción,8.0
C. Llullaillaco 2601,,
Av. del Parque 5275,,
Tucapel 589,,
Av Bernardo Ohiggins 4050 1116,,6.0
Aerodromo Bernardo ohiggins km 7 camino a coihueco,,6.0
Freire 1595,,
Arauco 270,,
Arturo Prat,,
Camino A Yungay Kilometro 5,,
Calle Igualdad N211,,
Quinel Sur 2680,,
Angamos 204,,
Los Notros 296,,
Galvarino 2128 Barrio Norte,,
Calle 1 casa 46 gaete,,
Patria Nueva 1069,,
Sitio 27 Poblacion Santa Irma  San Rafael,,13.0
Pl. Baquedano,Providencia,13.0
SANTA AMELIA DEL RETIRO S N,,
Cerro Verde,,
Franfor 4290,,
Diego de Oro 153,,
Ongolmo 1997,,
kilometro 5 camino yungay,,
Av. Manuel Rodríguez 817,Concepción,8.0
Pedro León Gallo 466,,
Monte León,,
Av Ohiggins P Norte 2086 lote 3,,6.0
Manuel Rodríguez 493,,
San Marcos 4369,,
Schleyer 150,,
Las canoas pje 3 casa 15,,
Avda Celulosa 265,,
3 Oriente 152 La Esmeralda,,
Almte. Latorre 1111,Talcahuano,8.0
Orompello 1333A,,
Antártica Chilena 198,,
Dos Nte. 245,Talcahuano,8.0
Ejército 1370,Concepción,8.0
Chacabuco 906 Of 302,,
Km 8 camino,,
Chacra Guaiquillo lote 5,,
Roble Americano Pte 8721,,
Pena 2 Sur Casa 678 Lagunilla,,
Avenida Los Lirios 428,,
Griselda 6380,,
San Ignacio,,
Vista Bella 11 sector puente ñuble,,
Barboza 1103,,
Patricio Lynch 35,,
Applegath,Talcahuano,8.0
wwwww,,
Arturo Prat 884,Concepción,8.0
San Martin 1179 Of 3  Ejercito 1451 Of 5,,
Autop. Interportuaria,,
Coliumo aldea numero 2 casa 1,,
Libertador Gral. Bernardo O'Higgins 1186,Concepción,8.0
Km.12,,8.0
Las Garzas 331 Villa Candelaria,,
C. Sta. Rosa 422,,
Jaime Eyzaguirre 2722,Concepción,8.0
Las Rosas,,
Tomas Yabar 268,,
20 de agosto 1304,,
Badajoz Sur 200 Costanera,,
Cruz del Sur Calle 1 Casa 11,,
TUCAPEL 2234 LOTE 4 MZ E,,
Av. del Parque 5275,,13.0
Valdivia 123,,
Carlos Oliver 5425,Talcahuano,8.0
Carampangue 443 Depto 103 A Lan C,,
José M. Infante 861,,
Diego de Oro 382,Concepción,8.0
Anibal Pinto 1827,,
Gazmuri 250,,
P - Arturo Prat 1194,,
Los Copihues,,
Colo Colo 740 750,,
Almte. Latorre 1201,,
Av. Central,,13.0
Los Limones7155,,
Los Cipreces,Concepción,8.0
Yugoslavia 1896,,
Castellón 176,Concepción,8.0
Autop. Concepción - Talcahuano 6151,Talcahuano,8.0
Jaime Repullo 3815,Talcahuano,8.0
Calle Arica 160,,
Unnamed Road,,
Lincoyán 870,Concepción,8.0
Los Tres Antonios 191,,13.0
Polonia 3672,Hualpén,8.0
Avda Central 437 Cerro Verde Bajo,,
Manuel Montt,,
Bellavista 1791,Concepción,8.0
Argentina 380,,
Castellón 1669,Concepción,8.0
Calle B 6607 Brisa del Sol,,
Orompello 1225 Curamavida,,
Claudio Arrau,,
Camino A Quinchamali km 24,,
Erasmo Escala 772,,
San Luis Lote 3,,
Hijuela 2 De Tranguilboro,,
Pasaje L 1494,,
Caupolicán 365,,
Ongolmo 1327,Concepción,8.0
Avenida Cliumo 1227 O-,Tomé,8.0
Ejército 361,Concepción,8.0
9X9H+GJ,,
Puren 2,,
Erasmo Escala 248,,
Calle 2 Sur 601 Cerro Obligado,,
San Jose Sur,,
PADRE VICENTE LAS CASAS 60 POB ZANARTU,,
Egana 248 Centro,,
Av Las Violetas 362 Pueblo Seco,,
410000 Sector,,8.0
Km 7.5 Camino a Rafael S/N Sector Rinco 2,,
Gral. Baquedano 21,,
San Carlos,,
Pje. Seis 150,Talcahuano,8.0
Mercedes Norte 2015,,5.0
Antonio de la Fuente 370,Talcahuano,8.0
Venecia 300,Talcahuano,8.0
Arrau Méndez 480,Concepción,8.0
Tres Ote. 152,Talcahuano,8.0
Humberto Romero SN,,
Stripcenter Olimpia - Gómez Carreño 3284,Talcahuano,8.0
SAN RAMON LT 1,,
Hector Branas 582 Presidente Rios,,
Avenida Gabriela Mistral 1255,,
Caracol 790 Bellavista,,
Vera Suárez,,
Federico Schwager 972,Coronel,8.0
Antonio Varas 1148,Concepción,8.0
9W7R+X6,,
Rengo 1519,,
C Piedra de Francia 763 MZ 10 Llacolen,,
Parcela El Sauce KM 3 Curali Bajo,,
Juvenal Hernández 665,,
Calle General Cruz 218 Sector Arenal,,
Jaime Repullo 2330,,
4081415 Concepción,Concepción,8.0
Rosa Ohiggins SN Esquina Isabel Riquelme,,6.0
Ongolmo 1880,Concepción,8.0
C. Cobquecura,,
Santa Ana iguelas N°,,
Av. Circunvalación Sur 3130,,
Las Margaritas1915 depto 34 B Huertos Familiares,,
Pasaje Central 2252 ST 7 Pobl San Martin,,
Av. 105 1241,,
Esmeralda 74,,
Manuel Barros Borgono 3465,,
Janequeo 553,Concepción,8.0
Miguel de Cervantes 267,,
Enrique Soro 1517 - Villa Spring Hill,San Pedro de la Paz,8.0
Sotomayor 721,,
Avenida Collao 1202 casilla 5-C,,
Anibal Pinto 295,Concepción,8.0
L-16,,
Lote K Chiquimavida KM 4 SN,,
San Carlos,,8.0
Calle Rosario Norte 532 of 702,,
Km 9.7,,
San Martín 553,,
Maipú 1368,Maipú,8.0
Los Peumos 601,,
Av Americo Vespucio Norte 280,,
Camino oro verde kilómetro 5 callejón los mimbres,,
Autopista 6311,,
Bulnes 495,,
Hijuela santa juana del calvario,,
Parcela 41 B,,6.0
Pasaje isla caucahue 1372 islas del sur,,
Vicuña Mackenna 1119,,
Sector Lo Varga SN,,
Av. Forestal 1109,Coronel,8.0
Bristol 2557,Hualpén,8.0
Agustinas 1022,Santiago,13.0
Cosme Churruca 324,Concepción,8.0
Bellavista 1819 Barrio Norte,,
Gral. Cruz 535,,
Linconyan 858 DP 222 ED petrohue 2,,
Almte. Latorre 1590,,
Lautaro 119,Talcahuano,8.0
Simpson 110,,
Av. El Bosque Nte. 0177,Las Condes,13.0
pasaje Calama 42 poblacion Sarita Gajardo,,
Isla de Pascua 100,Talcahuano,8.0
Avenida Estero la Posada 3655 - Parque Industrial Coronel,Coronel,8.0
ITATA 142,,
Bernardo Ohiggins 1307 lote 35,,6.0
Los Halcones 198,Talcahuano,8.0
El Carmen,,13.0
KM 1 Camino Nueva Aldea SN,,
Variante Nahueltoro km 2,,
Libertad 671,,
Antartica Chilena 760,,
Osorno,,
Bulnes 284,,
Avenida los lobos 1565,,
Av. Collín 1112,,
Vista Bella 12,,
Alonso de Rivera 2850,,
Colo Colo 222,Concepción,8.0
Michimalonco 3664,,
Arturo Prat 259,,
Ignacio Serrano 994,,
Américo Vespucio Nte. 995,Las Condes,13.0
4270742 Talcahuano,Talcahuano,8.0
Diego de Oro 382 Concepcion,,
Manuel Zañartu 664,,
Nueva Uno 3460,,
Av. Los Carrera 957,Concepción,8.0
Colon 1669 Sector Central,,
Calle 8 N977 San Marcos 2000,,
Fundo El Molino Lote 1 SN,,
KL 3 fundó boyen lote 30,,
Caupolicán 1318,Concepción,8.0
Av. las Margaritas 1626,,
Av Inglesa 55,,
Los Alamendros 1196 Bellavista,,
Ones de Loyola 1324,,
Bulnes 284,Talcahuano,8.0
Rengo 321,Concepción,8.0
Chacabuco 481,,
Los Olivillos 424,,
Las Heras 314,Concepción,8.0
P. Félix Eicher 77,,
Callao 2970,Las Condes,13.0
Américo Vespucio 444,,
Pérez Gacitúa 280,,
Parcela A3 Canchillas Cerro Negro,,
Aurelio Oyrazun 605,,
Esperanza 451,Chiguayante,8.0
Entre Ainavillo y Galvarino - Barros Arana 1668,Concepción,8.0
manuel Antonio Matta 1116,,
Cam. Al Volcán 9660,,13.0
Lote B Cerro Negro,,
Galvarino 346,,
Juan Cruz Vega 450,,
J Manzo Velasco 194 OF 4- 2 4,,
PASAJE LAS RAICES 543 VILLA DONA ROSA,,
av coliumo 1151,Tomé,8.0
KM 8 Camino a San Javier SN,,
Griselda 6302,Talcahuano,8.0
Calle 53D con Carrera 16 #S/N,,
Libertador Gral. Bernardo O'Higgins 491,Concepción,8.0
Los Cipreces 33,Concepción,8.0
Los Tilos,,
Escocia,Hualpén,8.0
san miguel comuna pemuco km 440,,
calle cerro la campana 32 quinta merced la cruz,,
RP8F+2F,,
Ohiggins 1186,,6.0
Calle central parcela 72 quilmo bajo,,
Km 6 Camino Huape Villa Iraira Chillan,,
Los Acacios 87,San Pedro de la Paz,8.0
LT 18 PARC 1 FUNDO BOY EN KM 6,,
Compañía de Jesús,,
PASAJE 24 711 FLORESTA 3,,
Caupolican 321 Galeria Los Arrayanes Local 3,,
Vicuña Mackenna 181,Talcahuano,8.0
Av. Laguna Grande 350,,
Calle Bernardo O`Higgins 198,Concepción,8.0
Pje. Durango 849,Hualpén,8.0
Ines de Suárez,,
Acapulco 1772,,
Calle de servicio Violeta Parra,,
Almte. Latorre 1099,Talcahuano,8.0
Caupolicán 1151,,
Manuel Rodríguez 245,Talcahuano,8.0
Av. O'Higgins 562,,6.0
Av. Golfo De Arauco 3658,Coronel,8.0
República,Tomé,8.0
Las Heras 284,Concepción,8.0
Jaime Repullo 326,Talcahuano,8.0
Camino Huepil s/n,,
Calbuco 8684,Hualpén,8.0
Jaime Repullo 2803,Talcahuano,8.0
Ongolmo 2155 B,,
Colon 3360,,
Manuel Rodriguez 145,,
tagna 7,,
Av. los Carrera Poniente 301,Concepción,8.0
Cachapoal km 22,,
Manuel Bulnes 1725,Concepción,8.0
Km 21 San Antonio de Koto,,
Griselda 335 Santa Leonor,,
Manuel Gutiérrez 2027,Concepción,8.0
Avenida Colon 8297,,
AVDA beaucheff 965 depto 407,,
C. 4,,
C. A 682,Concepción,8.0
Manuel Montt 360,Talcahuano,8.0
Ruta N-55 km 16,,8.0
Moravia,Hualpén,8.0
Trehuaco 753 Parque Residencial BioBio,,
Camino a pinto km 19 pinto,,
Carlos Condell,Talcahuano,8.0
Bariante nahueltoro kl 2 chillan,,
Las Higueras 6445 Lomas Coloradas,,
Ohiggins 770 Lc 33 null,,6.0
964H+VC,,8.0
Las Mariposas,,
Av. Pinto 240,,5.0
Camilo del Rio 808,,
Caletera Bypass,,
Vicuna Maquena 2 A,,
Sicilia 2822 A Alarcon del Canto,,
Coelemu,,
Colo Colo 1167,Concepción,8.0
Ongolmo 402,Concepción,8.0
Las rosas 653 Santa Clara,,
Erasmo Escala 1061,,
Barros Arana 492 of78 Torre Ligure 78,,
Avenida Collao 1202,,
La Vega 749,Talcahuano,8.0
Lourdes 179,,
cochrane 635 Of 1604 B concepcion,,
PCV5+HRF,,
Av. Francesa 97,Concepción,8.0
Orompello 178,Concepción,8.0
20 de agosto 1289,,
Claudio Gay Oriente 4101 San Marcos,,
Variante Nahueltoro,,
Pasaje 14 2649 Floresta 3 Hualpen,,
Los Onas 432,,
Av Arturo Prat 199 piso 8 torre A oficina 801,,
Calbuco 8684 OF 42,,
Javiera Carrera 7353,San Pedro de la Paz,8.0
Los Jacintos 5326 Denavi Sur,,
Hungria,Hualpén,8.0
Jaramillo 1005,,6.0
Direccion,,
Camino a las mariposas pasaje vitoria,,
Los Cipreses 162,,
San Fabian km 2 san carlos,,
Los Carrera Poniente 301,,
Trehuaco 736 Parque Resid BioBio,,
Simon Riquelme 829,,
Coihueco,,
21 de mayo N7 Chiguayante,Chiguayante,
O'Higgins 770,,6.0
Carriel Nte. S/N,Talcahuano,8.0
Pasaje Volcan Antuco Casa 42 Villa Cordillera,,
HFQM+GM,,8.0
Santa Elena 1574 altos del Laja,,
Maipu poniente 44 D A 1507 Torre A Concepcion,,
Beaucheff 250 Arenal,,
R Vicuna 410,,
El Carmen 1433,Concepción,13.0
Km 3 camino a yungay,,
Parcela 10 ninquihue,,
Barros Arana 492,Concepción,8.0
Villa Los Volcanes 2 Psje Osorno 745,,
camino a coihueco km 5,,
Jaime Repullo 1615,,
NO FACTURAR POR ESTE RUT,,
las violetas 764 pueblo seco san ignacio,,
Av. Andrés Bello 2777,Las Condes,13.0
Conumo 126 carampangue,,
Andalue 2736,,
Felipe Cubilllos 746 El Rosario,,
Villa Esmerlda pasaje el poncho 292,,
KM 8 camino los Angeles Santa Eliana,,
Los Diaguitas 626,Talcahuano,8.0
Juan de Matta Pradel 437,,
2 Poniente 7278 Poblacion Patricio Lynch,,
Avenida Bernardo O'Higgins,,6.0
Bulnes 1271,,
Caupolican 1425,,
Sta. María 740,Concepción,8.0
Centenario 1138 tome,Tome,
Gaete - Edelmira 99,Talcahuano,
Av. Ramón León Luco,,
Poblacion santa filomena pasaje altocolco 268,,
Av. Chacabuco 1363,Concepción,8.0
Ruta 5 sur KL 375,,
Maipú 1245,Maipú,8.0
LOS EUCALIPTUS  LOTE  1 2351,,
Av. Bosque Mar 420,San Pedro de la Paz,8.0
Bernardo Ohiggins 194 Placilla Oriente,,6.0
18 de Septiembre 1358,,
Avenida Francia 352 Poblacion Santa Elvira,,
Rafael soto mayor 284 villa ferrocarril,,
Tarapacá 830,Talcahuano,8.0
Av. Laguna Grande 800,San Pedro de la Paz,8.0
San Martin 655,,
Arturo Prat 199,Concepción,8.0
Los Puelches 1440,,
Pasaje butre 171 villa cordillera,,
Av. Costanera 7488,,
Quinchao 7979 Villa Hermosa,,13.0
Las Canoas 294-350,,
EL Sauce,Tomé,8.0
Ejército 435,,
Colo Colo 1645,,
Andrés Bello 812,,
Av Latorre 399 San Vicente,,
Constitución 742,,
Bianchi 792,,
Av Ohiggins 4265 panamericana norte,,6.0
Baquedano 599,,
Av. Bernardo O'Higgins 388,,6.0
Pasaje Salustio BeeChe 375 Villa Padre Hurtado,,
Av Golfo de Arauco 3648 Parque Industrial,,
Los leones LT 486 11 de Septiembre,,
Juan de Dios Rivera 590,,
Marchant 466,,
2 Poniente 735 medio camino,,
Av. Maximiliano Poblete 14601,,
HAMILTON 1235 P MANSO DE VELASCO,,
Applegath 292,Talcahuano,8.0
5 de Abril 815,,
Los Ingenieros 972 Parque Industrial,,
4121717 San Pedro de la Paz,San Pedro de la Paz,8.0
Antonio Varas 292,Talcahuano,8.0
Sinforiano Ossa 959,,
Pemuco 9316,Hualpén,8.0
Los Copihues,Concepción,8.0
Vicuña Mackenna 1167,Concepción,8.0
Sta. Sabina 2209,Concepción,8.0
Arturo Prat 94,,
Av los Pajaritos 3195 Of 1019,,
Jaime Repullo 385,Talcahuano,8.0
Los Nardos 5386 Denavi Sur,,
Nicolás Verdugo 1953,Concepción,8.0
Valdivia 1187,Talcahuano,8.0
Arteaga Alemparte 8811,Concepción,8.0
4600874 Hualpén,Hualpén,8.0
Malaquias Concha 701 L3 San Vicente,,
Flores Millán 1630,,
Av. O'Higgins 2046,,6.0
Ruta q 60 km 1.4 sector el  altamirano,,
Av. Los Carrera 1698,Concepción,8.0
Chacayal Sur,,
Pueblo Seco,,
San Pedro Nolasco 219,Concepción,8.0
Collao 1202,Concepción,8.0
Jaime Repullo 924,,
Rio segre 2239 3 condominio guapuru chillan,,
Serrano 885,Concepción,8.0
Los Pellines,,
Av. Las Golondrinas 442,Hualpén,8.0
Avenida Las Industrias km 517 los angeles,,
Av. Manuel Rodríguez 734,Concepción,8.0
Ongolmo 1359,,
Lourdes 179,,
Avda Colon 1596 interior,,
Jaime Repullo 286,Talcahuano,8.0
La Marina 7310,,
Cochrane 635,Concepción,8.0
Lautaro 1097,,
Diag. Pedro Aguirre Cerda 1269,Concepción,8.0
Golf Lomas de La Dehesa 9576,,13.0
Coronel Souper 4060 Dto 318,Coronel,
Pje. 6 Nte.,Concepción,8.0
San Martín,,
Víctor Gregorio Amunátegui 3143,Talcahuano,8.0
Avda 2 Sur Poniente 489,,
Autopista 5935,,
Cinco de Noviembre 254,,
LOS CONQUISTADORES NORTE 70 D 303 CONDOMINIO ISABEL LA,,
KM 20 Camino a Coihueco,,
Averiguar,,
milano 03106 dpt102 siena,,
Libertador Gral. Bernardo O'Higgins 770,Concepción,8.0
Maipón 769,,
Sta. Rosa 575,Talcahuano,8.0
Parcela 13 Sector Colgue,,
Pasaje Rio Serrano 1101,,
Victoria,,
Nicacio Alarcon 605 nipa,,
Michimalongo,,
Longitudinal 2 973,,
Orompello 1781,Concepción,8.0
Janequeo 761,,
villa padre hurtado pasaje luis antini riveros 530,,
Pje. 2,,
Orompello 1024,Concepción,8.0
Andrés de Fuenzalida 22,Providencia,13.0
Arturo Prat 1024,Concepción,8.0
Honduras,,
Juan Macaya 65,Talcahuano,8.0
Ignacio Carrera Pinto 931,,
Fundo los Naranjos Rio Claro,,
Los nogales 397,,
